Id,WeedMapsDoctorsId,Name,address,state,city,postal_code,latitude,longitude,Type,LicenseType,Ranking,Rating,ReviewsCount,Timezone,Url,LogoName,email,phone_number,website,Instagram,Facebook,Twitter,SundayOpenTime,MondayOpenTime,TuesdayOpenTime,WednesdayOpenTime,ThursdayOpenTime,FridayOpenTime,SaturdayOpenTime,LastSeenAt,LastUpdatedAt,LastCreatedAt,speciality,license_state,license_number,consulting_office_visit_fees,consulting_office_videocall_fees,telehealth,in_person,insurance,military_veteran_discount,MMC,MMC_physical,MMC_digital,payment_credit_debit,payment_android_pay,payment_applepay,payment_paypal,payment_venmo,fee_initial_consultation
1,18038,AMC- American Medical Consultants,23100 Cherry Hill St Ste# 9,Michigan,Dearborn,48124,42.312,-83.262,doctor,medical,4.77048,5,NULL,America/New_York,https://weedmaps.com/doctors/amc-american-medical-consultants,57/57ef7c4ac74c4e82a54b95d69a9907e243d6d5d6.jpg,mjdoc313@gmail.com,313-465-9952,https://form.jotform.com/202205797946161,,https://www.facebook.com/mjdoc313/,,Closed,8:00am-6:00pm,Closed,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,8:00am-2:00pm,2020-12-03 21:59:15.007,2020-12-03 21:59:15.007,2020-12-03 21:59:15.007,,,,,,,,,,,,,,,,,,
2,12597,Canna Medicine Clinic Fresno,3772 N. 1st St,Ca,Fresno,93726,36.7868,-119.772,doctor,medical,4.49083,4.825,NULL,America/Los_Angeles,https://weedmaps.com/doctors/canna-medicine-marijuana-fresno,26/2630f37496e08b61878a91637ac7bc05833a79e9.jpg,cannamedicine@yahoo.com,559-412-2004,https://cmc420.com/,cannamedicineclinic,http://www.facebook.com/cannamedclinic,cannamedicineclinic,Closed,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,Closed,2020-12-03 21:59:15.420,2020-12-03 21:59:15.420,2020-12-03 21:59:15.420,,,,,,,,,,,,,,,,,,
3,14850,Sun Valley Certification Centers,7074 E Speedway Blvd,Arizona,Tucson,85710,32.2351,-110.842,doctor,medical,2.95491,3.64,NULL,America/Phoenix,https://weedmaps.com/doctors/sun-valley-certification-centers-2,57/57037b35a5c286406f4d6cd63bba50a066f8d784.jpg,info@svmmjcc.com,520-585-5850,http://www.svmmjcc.com,http://instagram.com/azmmjdr/,https://www.facebook.com/SunValleyMMJSurprise,https://twitter.com/AZMMJDR,Closed,10:00am-5:00pm,10:00am-5:00pm,10:00am-5:00pm,10:00am-5:00pm,10:00am-5:00pm,Closed,2020-12-03 21:59:15.847,2020-12-03 21:59:15.847,2020-12-03 21:59:15.847,,,,,,,,,,,,,,,,,,
4,16519,The Health Center,2568-A Riva Road Suite 100,Maryland,Annapolis,21401,38.9776,-76.5521,doctor,medical,2.69738,5,NULL,America/New_York,https://weedmaps.com/doctors/the-health-center-9,13/13c030472087c3bdd5fa3b7fa02f37b2ef3b1f30.jpg,mmjappts@gmail.com,(301) 262-2168,http://thehealthcentermd.com,TheHealthCenterMD,TheHealthCenterMD,TheHealthCenterMD,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,2020-12-03 21:59:15.947,2020-12-03 21:59:15.947,2020-12-03 21:59:15.947,,,,,,,,,,,,,,,,,,
5,12398,Dr. Green Relief Las Vegas Marijuana Doctors,7200 Smoke Ranch Road #120,Nevada,Las Vegas,89128,36.2037,-115.249,doctor,medical,4.78963,4.90888,NULL,America/Los_Angeles,https://weedmaps.com/doctors/dr-green-relief,9c/9c25620e414cfd4f2c3d00c91735d78ffc18e0a9.jpg,contact@drgreenrelief.com,702-998-2838,https://www.drgreenrelief.com/,https://www.instagram.com/dr.green.relief/,https://www.facebook.com/drgreenrelief,https://twitter.com/drgreenrelief,Closed,9:00am-5:00pm,9:00pm-5:00pm,9:00pm-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-1:00pm,2020-12-03 21:59:16.117,2020-12-03 21:59:16.117,2020-12-03 21:59:16.117,,,,,,,,,,,,,,,,,,
6,14968,Oneounce.com,Please visit our website:    oneounce.com,Quebec,Quebec City,G2J 1R8,46.8454,-71.2758,doctor,medical,2.04737,0,NULL,America/New_York,https://weedmaps.com/doctors/dr-cannabis-11,2d/2d387a7ce6817f3375c98903ce1608d661f762f2.jpg,care@oneounce.com,855-975-2422,https://oneounce.com,,https://www.facebook.com/oneouncemedicalservices/,https://twitter.com/OneOunceMedical,Closed,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,Closed,2020-12-03 21:59:16.373,2020-12-03 21:59:16.373,2020-12-03 21:59:16.373,,,,,,,,,,,,,,,,,,
7,14380,National Access Cannabis - Saskatoon,210 2nd Avenue North,SK,Saskatoon,S7K 2B5,52.1308,-106.663,doctor,medical,3.47915,4.85714,NULL,America/Regina,https://weedmaps.com/doctors/national-access-cannabis-saskatoon,1f/1f8e68baa79306e906bebe71393e67be46d464ec.jpg,saskatoon@nationalaccesscannabis.com,306-952-1480,http://nationalaccesscannabis.com,https://instagram.com/national.access.cannabis/,http://fb.me/letstalkanswers,https://twitter.com/NACclinicOttawa,Closed,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,Closed,2020-12-03 21:59:16.707,2020-12-03 21:59:16.707,2020-12-03 21:59:16.707,,,,,,,,,,,,,,,,,,
8,18408,U.S. Virgin Islands Medical Marijuana Doctor,N/A,USVI,Charlotte Amalie,802,18.3417,-64.9278,doctor,medical,2.04737,0,NULL,America/New_York,https://weedmaps.com/doctors/us-virgin-islands-medical-marijuana-doctor,93/93f9d6eab57f1e43eef91d12da0ceacd58be8986.jpg,customerservice@weedmaps.com,0,https://weedmaps.com/learn/laws-and-regulations/,,,,Closed,Closed,Closed,Closed,Closed,Closed,Closed,2020-12-03 21:59:16.737,2020-12-03 21:59:16.737,2020-12-03 21:59:16.737,,,,,,,,,,,,,,,,,,
9,17982,"Medical Marijuana Clinic of Louisiana | Doctor Victor H Chou, M.D.",PO Box 86931,Louisiana,Baton Rouge,70879,30.3734,-90.9815,doctor,medical,2.93654,5,NULL,America/Chicago,https://weedmaps.com/doctors/medical-marijuana-clinic-of-louisiana-doctor-victor-h-chou-m-d,04/04747309bc6eac7c1c1b2d5863d476f861505ec3.jpg,victor@choumd.com,(225) 800-3162,https://choumd.com/,,https://www.facebook.com/choumd,https://twitter.com/victorchoumd,Closed,12:00pm-4:00pm,10:00am-4:00pm,12:00pm-4:00pm,10:00am-4:00pm,12:00pm-4:00pm,Closed,2020-12-03 21:59:16.893,2020-12-03 21:59:16.893,2020-12-03 21:59:16.893,,,,,,,,,,,,,,,,,,
10,19795,The Health Center,5602 Baltimore National Pike Suite 603,Maryland,Catonsville,21228,39.2897,-76.7267,doctor,medical,2.04737,0,NULL,America/New_York,https://weedmaps.com/doctors/the-health-center-llc,b4/b4e4c74032abfd6f3ead319ee3db6e913ce8420c.jpg,MMJAPPTS@GMAIL.COM,844-420-APPT,http://thehealthcentermd.com,TheHealthCenterMD,https://www.facebook.com/TheHealthCenterMD/,,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,2020-12-03 21:59:17.053,2020-12-03 21:59:17.053,2020-12-03 21:59:17.053,,,,,,,,,,,,,,,,,,
