wm_doctors_id,name,address,state,city,postal_code,doctor_type,email,facebook,sunday,monday,tuesday,wednesday,thursday,friday,saturday,image_name,image,instagram,latitude,license_type,longitude,ranking,rating,review_count,phone_number,timezone,twitter,url,website,year_in_practice,speciality,license_state,license_number,consulting_office_visit_fees,consulting_office_videocall_fees,telehealth,in_person,insurance,military_veteran_discount,MMC,MMC_physical,MMC_digital,payment_credit_debit,payment_android_pay,payment_applepay,payment_paypal,payment_venmo,fee_initial_consultation
21548,MMJHerb Online Clinic - San Francisco,Please Visit Our Website for a Telehealth Appointment,California,San Francisco,94016,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,22/2272aa7d7c6f166e23dd3d892b4e9744cee47b43.jpg,https://images.weedmaps.com/doctors/000/021/548/avatar/original/1645758660-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.731176,medical,-116.404187,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-110,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
21556,MMJHerb Online Clinic - Monterey,Please Visit Our Website for a Telehealth Appointment,California,Monterey,93940,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,cd/cd4815ad27c215f0a6c8229b2829f8189ba45366.jpg,https://images.weedmaps.com/doctors/000/021/556/avatar/original/1645757479-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.78527,medical,-116.35633,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-118,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
21549,MMJHerb Online Clinic - San Bernardino,Please Visit Our Website for a Telehealth Appointment,California,San Bernadino,92346,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,13/13a096463bbad52591d45615754d4d10681b246d.jpg,https://images.weedmaps.com/doctors/000/021/549/avatar/original/1645758628-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.699902,medical,-116.191952,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-111,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
21737,MMJHerb Online Clinic - Downtown LA,Please Visit Our Website for a Telehealth Appointment,California,Los Angeles,90001,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,41/41abef896c31ab9e7245c6efefed9210310445dd.jpg,https://images.weedmaps.com/doctors/000/021/737/avatar/original/1645755492-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,36.209819,medical,-119.344154,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-132,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
21735,MMJHerb Online Clinic - El Centro,Please Visit Our Website for a Telehealth Appointment,California,El Centro,92244,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,1c/1c5bb126c9b175c40c5c7b9d79666d252b0a6af3.jpg,https://images.weedmaps.com/doctors/000/021/735/avatar/original/1645755885-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.78722,medical,-116.465248,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-130,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
21603,MMJHerb Online Clinic - Mammoth Lake,Please Visit Our Website for a Telehealth Appointment,California,Mammoth Lake,93546,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,c7/c78786642b8380a597c341d5cbfd6a949f727523.jpg,https://images.weedmaps.com/doctors/000/021/603/avatar/original/1645757467-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.720153,medical,-117.848166,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-120,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
25794,Marijuana Certifications,26 South Street,Maryland,Baltimore,21202,doctor,marijuanacertifications@outlook.com,https://www.facebook.com/MMJCertification/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,58/582a48c21f8da0eb74191fcaea155f370f99c32a.jpg,https://images.weedmaps.com/doctors/000/025/794/avatar/original/1637128994-logo.jpg,https://www.instagram.com/mjcertz/,39.28856,medical,-76.61108,2.04737205583712,0,0,2135420665,America/New_York,https://twitter.com/CertzMj,https://weedmaps.com/doctors/marijuana-certifications-21,http://www.marijuanacertifications.org,,,,,,,,,,,,,,,,,,,
26527,Medical Marijuana Card Club - Ocala,"201 N Magnolia Ave, Suite M",Florida,Ocala,34475,doctor,club@medicalcardclub.com,https://www.facebook.com/medcardclub/,12:00pm-5:00pm,10:00am-9:00pm,10:00am-9:00pm,10:00am-9:00pm,10:00am-9:00pm,10:00am-9:00pm,8:00am-12:00pm,c6/c635aeadf0fca833eab38809a62264e2d9348d5b.jpg,https://images.weedmaps.com/doctors/000/026/527/avatar/original/1641324304-medical_marijuana_card_logo_design-02.png,https://www.instagram.com/medicalcardclub_/,29.188669,medical,-82.136652,2.04737205583712,0,0,352-484-9968,America/New_York,,https://weedmaps.com/doctors/medical-marijuana-card-club-ocala,https://www.medicalmarijuanacardclub.com/schedule-appointment-now,,,,,,,,,,,,,,,,,,,
21606,MMJHerb Online Clinic - Irvine,Please Visit Our Website for a Telehealth Appointment,California,Irvine,92602,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,64/64d702faec48977ae6c5e17a79ae0c7104cab677.jpg,https://images.weedmaps.com/doctors/000/021/606/avatar/original/1645757450-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.938992,medical,-117.235558,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-123,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
21609,MMJHerb Online Clinic - Glendale,Please Visit Our Website for a Telehealth Appointment,California,Glendale,91020,doctor,team@mmjherb.com,https://www.facebook.com/mmjherbfriends/,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,10:00am-10:00pm,88/88da9fb1d226f0a75eff8894584299bf16fae582.jpg,https://images.weedmaps.com/doctors/000/021/609/avatar/original/1645756606-1.jpeg,https://instagram.com/mmj.herb?igshid=1r9vpyy1j28bp,33.8387,medical,-117.248083,2.04737205583712,0,0,888-486-9577,America/Los_Angeles,https://twitter.com/420clinicon,https://weedmaps.com/doctors/mmjherb-online-clinic-126,http://mmjherb.com,,,,,,,,,,,,,,,,,,,
